timestamp,timestamp_ns,rtt_ms,ttl,bytes,own_ip,router_ip,ssid,bssid,rssi_dbm,noise_dbm,tx_rate_mbps,channel,phy_mode,mcs,nss
2026-06-11 11:49:37.655,1781171377655217000,,,,,,,,,,,,,,
2026-06-11 11:49:38.667,1781171378667195000,,,,,,,,,,,,,,
2026-06-11 11:49:39.679,1781171379679501000,,,,,,,,,,,,,,
2026-06-11 11:49:40.688,1781171380688524000,,,,,,,,,,,,,,
2026-06-11 11:49:41.700,1781171381700633000,,,,,,,,,,,,,,
2026-06-11 11:49:42.707,1781171382708050000,,,,,,,,,,,,,,
2026-06-11 11:49:43.741,1781171383741410000,,,,,,,,,,,,,,
2026-06-11 11:49:44.749,1781171384749978000,,,,,,,,,,,,,,
2026-06-11 11:49:45.757,1781171385757405000,,,,,,,,,,,,,,
2026-06-11 11:49:46.771,1781171386771795000,,,,,,,,,,,,,,
2026-06-11 11:49:47.783,1781171387783855000,,,,,,,,,,,,,,
2026-06-11 11:49:48.796,1781171388796693000,,,,,,,,,,,,,,
2026-06-11 11:49:49.804,1781171389805124000,,,,,,,,,,,,,,
2026-06-11 11:49:50.817,1781171390817580000,,,,,,,,,,,,,,
2026-06-11 11:49:51.830,1781171391830675000,,,,,,,,,,,,,,
2026-06-11 11:49:52.837,1781171392837990000,,,,,,,,,,,,,,
2026-06-11 11:49:53.846,1781171393846780000,,,,,,,,,,,,,,
2026-06-11 11:49:54.854,1781171394855129000,,,,,,,,,,,,,,
2026-06-11 11:49:55.867,1781171395867882000,,,,,,,,,,,,,,
2026-06-11 11:49:56.880,1781171396880711000,,,,,,,,,,,,,,
2026-06-11 11:49:57.888,1781171397888746000,,,,,,,,,,,,,,
2026-06-11 11:49:58.904,1781171398904565000,,,,,,,,,,,,,,
2026-06-11 11:49:59.914,1781171399914573000,,,,,,,,,,,,,,
2026-06-11 11:50:00.923,1781171400924042000,,,,,,,,,,,,,,
2026-06-11 11:50:01.932,1781171401933044000,,,,,,,,,,,,,,
2026-06-11 11:50:02.947,1781171402947800000,,,,,,,,,,,,,,
2026-06-11 11:50:03.957,1781171403957784000,,,,,,,,,,,,,,
2026-06-11 11:50:04.966,1781171404966443000,,,,,,,,,,,,,,
2026-06-11 11:50:05.980,1781171405980424000,,,,,,,,,,,,,,
2026-06-11 11:50:06.990,1781171406990242000,,,,,,,,,,,,,,
2026-06-11 11:50:08.002,1781171408002681000,,,,,,,,,,,,,,
2026-06-11 11:50:09.014,1781171409014582000,,,,,,,,,,,,,,
2026-06-11 11:50:10.030,1781171410030249000,,,,,,,,,,,,,,
2026-06-11 11:50:11.041,1781171411041373000,,,,,,,,,,,,,,
2026-06-11 11:50:12.048,1781171412049041000,,,,,,,,,,,,,,
2026-06-11 11:50:13.057,1781171413057627000,,,,,,,,,,,,,,
2026-06-11 11:50:14.070,1781171414070454000,,,,,,,,,,,,,,
2026-06-11 11:50:15.098,1781171415098450000,604.729,64.0,64.0,,,,,,,,,,,
2026-06-11 11:50:16.101,1781171416101970000,,,,,,,,,,,,,,
2026-06-11 11:50:17.115,1781171417115843000,,,,,,,,,,,,,,
2026-06-11 11:50:18.128,1781171418128523000,,,,,,,,,,,,,,
2026-06-11 11:50:19.138,1781171419138256000,,,,,,,,,,,,,,
2026-06-11 11:50:20.147,1781171420147577000,,,,,,,,,,,,,,
2026-06-11 11:50:21.156,1781171421156968000,,,,,,,,,,,,,,
2026-06-11 11:50:22.170,1781171422170378000,,,,,,,,,,,,,,
2026-06-11 11:50:23.180,1781171423180785000,,,,,,,,,,,,,,
2026-06-11 11:50:24.189,1781171424189161000,,,,,,,,,,,,,,
2026-06-11 11:50:25.196,1781171425196845000,,,,,,,,,,,,,,
2026-06-11 11:50:26.204,1781171426204687000,,,,,,,,,,,,,,
2026-06-11 11:50:27.214,1781171427214540000,,,,,,,,,,,,,,
2026-06-11 11:50:28.227,1781171428227335000,,,,,,,,,,,,,,
2026-06-11 11:50:29.241,1781171429241928000,,,,,,,,,,,,,,
2026-06-11 11:50:30.255,1781171430255433000,,,,,,,,,,,,,,
2026-06-11 11:50:31.270,1781171431270632000,,,,,,,,,,,,,,
2026-06-11 11:50:32.279,1781171432280006000,,,,,,,,,,,,,,
2026-06-11 11:50:33.288,1781171433288303000,,,,,,,,,,,,,,
2026-06-11 11:50:34.297,1781171434297746000,,,,,,,,,,,,,,
2026-06-11 11:50:35.311,1781171435311218000,,,,,,,,,,,,,,
2026-06-11 11:50:36.321,1781171436321678000,,,,,,,,,,,,,,
2026-06-11 11:50:37.330,1781171437330545000,,,,,,,,,,,,,,
2026-06-11 11:50:38.337,1781171438337614000,,,,,,,,,,,,,,
2026-06-11 11:50:39.346,1781171439346950000,,,,,,,,,,,,,,
2026-06-11 11:50:40.356,1781171440356485000,,,,,,,,,,,,,,
